d12,Mutation 1,Mutation 2,Mutation 3
1,Shapechanger,Double damage,Speaks Common
2,Fins and gills,Breathes fire,Knows 1d4 spells
3,Insulating fur,Fast healing,Telepathic
4,Ironlike scales,+1 attack,Toxic spores
5,Extra limbs,+2 AC,Sonic blasts
6,Tentacles,+2 levels,Can teleport in bursts
7,Boneless,+1d6 damage,Paralytic touch
8,Gigantic,Life-draining touch,Genius intellect
9,Flings spikes,Very fast,Antimagic field
10,Two heads,Reflects spells,Blood-draining bite
11,Burrows,Electrified weapon,Has swamp fever
12,Wings,Acidic saliva,Blessed by a god
